species	strain	sex	two_choice	preference_index	%_feeding	assay_type
D. melanogaster	Canton-S	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.15384615384615383	0.65	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.25	1	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.1111111111111111	0.9	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.6666666666666666	0.15000000000000002	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.9411764705882352	0.85	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.9166666666666666	0.6	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.4666666666666667	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.5555555555555556	0.9	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.8947368421052632	0.95	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	0.7142857142857143	0.35	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.25	0.8	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.5333333333333333	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.6	0.75	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	0	1	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.5	0.8	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.5833333333333334	0.6	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.875	0.8	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.6	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.6	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	0.3333333333333333	0.15000000000000002	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	0	0.050000000000000044	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.9375	0.8	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.631578947368421	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.75	0.21052631578947367	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.7692307692307693	0.6842105263157895	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.6153846153846154	0.65	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.30000000000000004	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	0.8	0.25	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.5	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.8888888888888888	0.5	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.631578947368421	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.3333333333333333	0.5294117647058824	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.8125	0.8	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	1	0.6875	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.75	0.8	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.9	0.5263157894736843	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.8	0.5	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.9444444444444444	0.8571428571428572	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.7857142857142857	0.736842105263158	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	1	0.75	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM caffeine vs 5mM sucrose	0.6153846153846154	0.7222222222222222	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.85	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.8888888888888888	0.9	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.8888888888888888	0.9	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	0.7857142857142857	0.7	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.35	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.9411764705882353	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.8888888888888888	0.5294117647058824	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.5	0.4444444444444444	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.7777777777777778	0.9	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	1	0.75	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	0.6153846153846154	0.65	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	1	0.6	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	0	0.2777777777777778	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	0.6666666666666666	0.3157894736842105	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 25mM caffeine vs 5mM sucrose	-0.6666666666666666	0.30000000000000004	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.7	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.4	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.8666666666666667	0.75	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	1	0.368421052631579	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	0.6363636363636364	0.5789473684210527	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	0.8	0.5263157894736843	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-1	0.3157894736842105	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.2	0.25	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 50mM caffeine vs 5mM sucrose	-0.8888888888888888	0.4736842105263158	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.9285714285714286	0.7	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.5833333333333334	0.6	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.9285714285714286	0.7	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	0.85	1	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	0.8461538461538461	0.65	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	0.8461538461538461	0.65	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.875	0.8888888888888888	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.9375	0.8421052631578947	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.9166666666666666	0.8571428571428572	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.95	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM caffeine vs 5mM sucrose	1	0.5	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	1	1	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	1	1	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	1	0.8	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.7	0.5	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	1	0.75	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	1	0.42105263157894735	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.9375	0.8	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	1	0.65	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	1	0.6	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	0	0.8	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.050000000000000044	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.4	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.631578947368421	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.95	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.95	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.8888888888888888	0.9	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.6	0.75	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.9090909090909092	0.55	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.9090909090909092	0.55	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.5625	0.8	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.7692307692307693	0.65	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	0.3333333333333333	0.6	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.736842105263158	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.95	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	0.6	0.75	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.95	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.6	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.4736842105263158	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.7	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.8	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-0.6	0.5263157894736843	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-0.75	0.8	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-0.6666666666666666	0.4736842105263158	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.368421052631579	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.4	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM coumarin vs 5mM sucrose	-1	0.33333333333333337	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.6153846153846154	0.6842105263157895	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.4666666666666667	0.75	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.6111111111111112	1	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.6923076923076923	0.6842105263157895	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.9	0.5263157894736843	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.875	0.8	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.8	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.4166666666666667	0.6666666666666667	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 1mM coumarin vs 5mM sucrose	0.6	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.9	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.5	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.9	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.736842105263158	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-0.9444444444444444	1	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	-1	0.9	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	0.6	0.5263157894736843	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	0.09090909090909093	0.55	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 5mM coumarin vs 5mM sucrose	0.5	0.736842105263158	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.9285714285714286	0.7	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.5833333333333334	0.6	petri dish colorimetric
D. sechellia	07	female	50mM sucrose vs 5mM sucrose	0.9285714285714286	0.7	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	0.85	1	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	0.8461538461538461	0.65	petri dish colorimetric
D. simulans	04	female	50mM sucrose vs 5mM sucrose	0.8461538461538461	0.65	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.875	0.8888888888888888	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.9375	0.8421052631578947	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose vs 5mM sucrose	0.9166666666666666	0.8571428571428572	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.050000000000000044	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.09999999999999998	petri dish colorimetric
D. sechellia	07	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.050000000000000044	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.75	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.8	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.5	petri dish colorimetric
D. simulans	04	female	50mM sucrose, 10mM denatonium benzoate vs 5mM sucrose	-1	0.65	petri dish colorimetric
D. melanogaster	Canton-S	female	5mM fructose vs 2mM fructose	-0.6666666666666666	0.44999999999999996	petri dish colorimetric
D. sechellia	07	female	5mM fructose vs 2mM fructose	0	0.19999999999999996	petri dish colorimetric
D. simulans	04	female	5mM fructose vs 2mM fructose	0.375	0.4	petri dish colorimetric
D. sechellia	07	female	5mM fructose vs 2mM fructose	0	0.15000000000000002	petri dish colorimetric
D. melanogaster	Canton-S	male	5mM fructose vs 2mM fructose	-0.5	0.09999999999999998	petri dish colorimetric
D. simulans	04	female	5mM fructose vs 2mM fructose	0.5	0.19999999999999996	petri dish colorimetric
D. melanogaster	Canton-S	male	5mM fructose vs 2mM fructose	-1	0.09999999999999998	petri dish colorimetric
D. sechellia	07	male	5mM fructose vs 2mM fructose	-0.875	0.4	petri dish colorimetric
D. simulans	04	male	5mM fructose vs 2mM fructose	-0.25	0.6666666666666667	petri dish colorimetric
D. sechellia	07	female	5mM fructose vs 2mM fructose	-0.6	0.25	petri dish colorimetric
D. melanogaster	Canton-S	female	5mM fructose vs 2mM fructose	-0.75	0.19999999999999996	petri dish colorimetric
D. sechellia	07	male	5mM fructose vs 2mM fructose	-1	0.25	petri dish colorimetric
D. simulans	04	male	5mM fructose vs 2mM fructose	-0.7142857142857143	0.7	petri dish colorimetric
D. sechellia	07	male	5mM fructose vs 2mM fructose	-0.6	0.25	petri dish colorimetric
D. melanogaster	Canton-S	female	5mM fructose vs 2mM fructose	-0.6666666666666666	0.2857142857142857	petri dish colorimetric
D. simulans	04	male	5mM fructose vs 2mM fructose	0	0.35	petri dish colorimetric
D. melanogaster	Canton-S	male	5mM fructose vs 2mM fructose	0	0.09999999999999998	petri dish colorimetric
D. simulans	04	female	5mM fructose vs 2mM fructose	0	0.10526315789473684	petri dish colorimetric
D. melanogaster	Canton-S	male	50mM fructose vs 5mM fructose	0.8888888888888888	0.9	petri dish colorimetric
D. sechellia	07	male	50mM fructose vs 5mM fructose	0.9333333333333332	0.75	petri dish colorimetric
D. simulans	04	male	50mM fructose vs 5mM fructose	1	0.8	petri dish colorimetric
D. simulans	04	female	50mM fructose vs 5mM fructose	1	0.7619047619047619	petri dish colorimetric
D. melanogaster	Canton-S	female	50mM fructose vs 5mM fructose	0.8823529411764706	0.85	petri dish colorimetric
D. sechellia	07	male	50mM fructose vs 5mM fructose	1	0.55	petri dish colorimetric
D. sechellia	07	male	50mM fructose vs 5mM fructose	0.875	0.4	petri dish colorimetric
D. sechellia	07	female	50mM fructose vs 5mM fructose	1	0.09999999999999998	petri dish colorimetric
D. sechellia	07	female	50mM fructose vs 5mM fructose	0.8333333333333334	0.30000000000000004	petri dish colorimetric
D. sechellia	07	female	50mM fructose vs 5mM fructose	0.8888888888888888	0.44999999999999996	petri dish colorimetric
D. sechellia	07	male	500mM fructose vs 5mM fructose	1	0.4	petri dish colorimetric
D. simulans	04	male	500mM fructose vs 5mM fructose	0.9444444444444444	0.9	petri dish colorimetric
D. melanogaster	Canton-S	male	500mM fructose vs 5mM fructose	0.875	0.4	petri dish colorimetric
D. melanogaster	Canton-S	male	500mM fructose vs 5mM fructose	1	0.44999999999999996	petri dish colorimetric
D. melanogaster	Canton-S	male	500mM fructose vs 5mM fructose	1	0.6	petri dish colorimetric
D. melanogaster	Canton-S	female	500mM fructose vs 5mM fructose	1	0.631578947368421	petri dish colorimetric
D. melanogaster	Canton-S	female	500mM fructose vs 5mM fructose	1	0.85	petri dish colorimetric
D. melanogaster	Canton-S	female	500mM fructose vs 5mM fructose	1	0.9473684210526316	petri dish colorimetric
D. sechellia	07	male	500mM fructose vs 5mM fructose	1	0.2857142857142857	petri dish colorimetric
D. sechellia	07	female	500mM fructose vs 5mM fructose	0.75	0.19999999999999996	petri dish colorimetric
D. sechellia	07	female	500mM fructose vs 5mM fructose	1	0.4736842105263158	petri dish colorimetric
D. sechellia	07	female	500mM fructose vs 5mM fructose	1	0.6666666666666667	petri dish colorimetric
D. simulans	04	male	500mM fructose vs 5mM fructose	1	1	petri dish colorimetric
